agency,description,name,price
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Homesmart,"Goodyear, AZ 85338","7520 S Estrella Parkway,Custom Home In Goodyear,2732 N 168th Avenue,Pebblecreek Phase 2 Unit 60,17636 W Paseo Way,Estrella Mountain Ranch Parcel 76,16605 W Pima Street,Sarival Gardens,8885 S San Angelo Street,Estrella Parcel 8,16465 W Holly Street,Pebblecreek Phase 2 Unit 52,16547 W Holly Street,Pebblecreek,3070 N 159th Drive,Pebblecreek Phase 2 Unit 41,18078 W Wind Drift Drive,Estrella Mountain Ranch,16607 W Mohave Street,Aldea At Sarival Gardens,4632 N 183rd Avenue,Sedella Parcel 2C,16309 W Durango Street,Vanderbilt Farms","$3,198,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
Realty One Group,"Tempe, AZ 85284","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd,2059 E La Vieve Lane,Circle G Ranches 4 Unit 1,2141 E La Vieve Lane,Circle G Ranches,2165 E Caroline Lane,Circle G Ranches 4-3 Amd,1526 E La Vieve Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #702,Edgewater Hayden Ferry Lakeside Condo Amd,1212 E Commodore Place,Lakes Tract A,140 E Rio Salado Parkway #203,Bridgeview At Hayden Ferry Lakeside Condominium Am,1407 E Bayview Drive,The Lakes,978 E Driftwood Drive,Lakes Tract D3,1340 E Caroline Lane,Corona Del Sol Estates,120 E Rio Salado Parkway #102,Edgewater At Hayden Ferry Lakeside Condo","$2,000,000"
